element_id,xx_case1,xx_case2,xy_case1,xy_case2,yy_case1,yy_case2,axial_case1,axial_case2
52,0.0,0.0,0.0,0.0,0.0,0.0,-83.816162109375,-27.594072341919
53,0.0,0.0,0.0,0.0,0.0,0.0,-84.017059326172,-27.644832611084
54,0.0,0.0,0.0,0.0,0.0,0.0,-83.806495666504,-27.559341430664
55,0.0,0.0,0.0,0.0,0.0,0.0,-72.410865783691,-23.74818611145
56,0.0,0.0,0.0,0.0,0.0,0.0,-72.49976348877,-23.854387283325
57,0.0,0.0,0.0,0.0,0.0,0.0,-72.452705383301,-23.915967941284
58,0.0,0.0,0.0,0.0,0.0,0.0,-72.377990722656,-23.768032073975
59,0.0,0.0,0.0,0.0,0.0,0.0,-75.352951049805,-24.793008804321
60,0.0,0.0,0.0,0.0,0.0,0.0,-72.404121398926,-23.86905670166
61,0.0,0.0,0.0,0.0,0.0,0.0,-69.960311889648,-24.005712509155
62,0.0,0.0,0.0,0.0,0.0,0.0,-62.794387817383,-20.661027908325
63,0.0,0.0,0.0,0.0,0.0,0.0,-69.415634155273,-21.853281021118
